time_idx,lon_idx
14,42
14,569
15,485
15,535
86,176
86,225
87,144
87,192
88,111
95,521
95,570
96,216
96,264
96,487
97,182
107,35
108,527
108,575
125,232
177,99
177,149
177,197
186,111
241,51
242,17
327,77
327,126
327,175
328,42
328,569
342,177
342,225
403,291
404,210
404,257
405,5
405,533
413,48
414,15
414,543
441,92
441,140
459,147
459,196
459,246
476,118
476,168
476,217
477,80
477,283
478,41
478,517
478,567
490,230
490,277
491,338
533,135
534,101
615,165
616,30
616,80
616,129
647,101
647,149
666,30
666,557
704,21
704,503
704,550
730,9
743,532
758,30
759,91
760,153
768,189
768,237
789,170
789,218
801,30
803,106
804,168
804,216
805,451
805,499
849,180
849,230
849,281
850,144
851,108
859,36
859,563
860,480
860,529
881,125
881,174
881,223
890,180
890,230
890,279
890,329
921,161
922,126
923,91
924,56
929,121
1090,550
1091,246
1092,210
1158,87
1158,137
1158,186
1158,235
1158,284
1159,50
1160,13
1161,553
1180,50
1181,17
1182,510
1182,559
1190,42
1191,104
1192,165
1192,212
1194,407
1194,455
1194,502
1201,169
1201,219
1216,53
1217,20
1217,548
1269,153
1269,202
1276,181
1277,94
1277,144
1283,311
1284,276
1285,239
1294,246
1294,294
1295,215
1326,261
1327,178
1327,227
1376,202
1377,167
1425,224
1425,272
1520,253
1520,301
1520,350
1521,219
1536,14
1536,228
1536,541
1537,457
1537,506
1546,38
1549,124
1551,199
1555,264
1555,312
1556,281
1556,328
1556,376
1559,464
1559,512
1565,301
1566,223
1566,271
1567,191
1568,525
1569,492
1577,485
1585,35
1586,3
1586,52
1586,530
1600,268
1601,186
1601,234
1609,471
1659,148
1659,195
1660,256
1741,188
1757,517
1784,211
1785,177
1786,35
1786,560
1787,477
1787,526
1788,443
1857,443
1857,491
1858,193
1859,159
1864,39
1869,244
1870,161
1870,211
1871,19
1871,70
1871,545
1872,462
1872,511
1883,12
1883,61
1903,528
1904,447
1904,494
1905,413
1936,521
1941,111
1941,159
1941,207
1942,435
1942,483
1950,173
1950,222
1950,270
1957,218
1962,513
1963,220
1963,480
1963,529
2006,171
2007,138
2051,169
2051,218
2052,135
2070,161
2070,210
2070,258
2070,306
2078,96
2078,145
2078,194
2079,61
2104,179
2104,227
2184,121
2184,170
2243,485
2243,534
2244,21
2251,4
2251,53
2251,532
2288,375
2288,423
2304,555
2305,211
2305,259
2305,474
2305,522
2313,159
2313,207
2313,256
2330,205
2331,173
2349,44
2351,117
2352,178
2352,226
2396,154
2396,203
2396,253
2420,162
2420,211
2420,260
2501,231
2502,195
2531,476
2532,441
2549,153
2577,196
2577,243
2578,163
2579,84
2579,131
2599,533
2600,454
2600,501
2601,421
2602,181
2602,230
2603,147
2624,160
2624,208
2624,256
2624,304
2640,494
2641,32
2641,81
2641,558
2645,396
2646,459
2653,540
2654,457
2654,506
2664,127
2664,175
2664,223
2664,271
2670,102
2671,69
2726,158
2726,206
2788,225
2879,210
2880,129
2880,177
2881,458
2881,505
2887,109
2888,173
2888,222
2958,32
2958,463
2958,512
2958,560
2992,396
2992,444
2992,492
2992,539
3007,129
3007,176
3008,1
3008,49
3008,96
3015,127
3073,108
3073,156
3073,205
3081,297
3081,345
3082,215
3082,263
3224,3
3224,52
3225,544
3236,91
3236,140
3236,189
3263,181
3263,230
3264,147
3288,248
3326,64
3327,31
3345,33
3345,560
3374,60
3375,26
3376,569
3377,536
3378,502
3399,460
3400,426
3401,182
3401,231
3402,100
3402,149
3425,289
3426,255
3432,166
3432,215
3433,130
3446,80
3447,142
3447,191
3508,148
3617,193
3617,241
3684,164
3684,213
3684,262
3692,171
3700,269
3721,348
3721,397
3721,446
3721,495
3728,41
3728,465
3728,515
3728,565
3729,108
3729,158
3729,207
3729,256
3744,17
3744,67
3744,493
3744,543
3767,65
3779,104
3779,153
3779,202
3780,21
3780,70
3787,96
3843,155
3843,204
3908,241
3909,159
3909,207
3910,125
3924,98
3924,147
3925,13
3925,63
3977,129
3977,177
3977,225
3982,511
3982,559
4052,113
4052,161
4070,234
4071,152
4071,200
4072,527
4073,492
4083,71
4084,36
4084,563
4090,61
4091,25
4091,552
4110,139
4110,189
4111,54
4111,104
4118,44
4119,13
4132,3
4133,546
4138,161
4138,209
4143,444
4144,508
4146,10
4147,75
4147,223
4148,140
4148,189
4150,538
4151,503
4152,469
4166,75
4166,124
4167,188
4195,174
4195,222
4195,270
4196,141
4235,102
4235,152
4235,202
4255,124
4255,173
4380,423
