pressure_hpa,corr_lw,corr_sw
1000.0000,-0.6301,-0.4008
975.0000,-0.6812,-0.4194
950.0000,-0.6744,-0.4267
925.0000,-0.6586,-0.4336
900.0000,-0.6629,-0.4205
875.0000,-0.6286,-0.4342
850.0000,-0.7177,-0.4438
825.0000,-0.7255,-0.4643
800.0000,-0.7692,-0.4670
775.0000,-0.7265,-0.4455
750.0000,-0.4685,-0.1944
725.0000,0.3060,0.5389
700.0000,0.5729,0.4778
675.0000,0.5794,0.4512
650.0000,0.6408,0.3836
625.0000,0.6908,0.3469
600.0000,0.7314,0.3104
575.0000,0.7796,0.2552
550.0000,0.8069,0.2075
525.0000,0.7961,0.1174
500.0000,0.7326,-0.0586
475.0000,0.5800,0.0364
450.0000,0.1618,0.1688
425.0000,0.2553,0.1445
400.0000,0.2192,0.1763
375.0000,0.0132,0.2323
350.0000,0.0162,0.2916
325.0000,0.0632,0.3340
300.0000,0.1634,0.4073
275.0000,0.1804,0.4714
250.0000,0.3365,0.5305
225.0000,-0.1009,-0.4813
200.0000,-0.6679,-0.6325
175.0000,-0.6503,-0.7305
150.0000,-0.5417,-0.7159
125.0000,-0.6416,-0.5673
100.0000,-0.6507,-0.1474
