pressure_hpa,corr_lw,corr_sw
1000.0000,0.0509,-0.1504
975.0000,0.0184,-0.1572
950.0000,0.0096,-0.1620
925.0000,0.0097,-0.1604
900.0000,-0.0133,-0.1571
875.0000,-0.0540,-0.1517
850.0000,-0.0851,-0.1424
825.0000,-0.1373,-0.1283
800.0000,-0.1581,-0.1120
775.0000,-0.1485,-0.0973
750.0000,-0.1152,-0.0725
725.0000,-0.0834,-0.0247
700.0000,-0.0612,0.0597
675.0000,-0.0753,0.0710
650.0000,-0.1081,0.0801
625.0000,-0.1670,0.0789
600.0000,-0.1997,0.0537
575.0000,-0.2187,0.0071
550.0000,-0.2499,-0.0339
525.0000,-0.2280,-0.0584
500.0000,-0.2001,-0.0635
475.0000,-0.1591,-0.0461
450.0000,-0.1058,0.0115
425.0000,-0.0454,0.0710
400.0000,-0.0482,0.1014
375.0000,-0.0494,0.1310
350.0000,-0.0279,0.1613
325.0000,-0.0009,0.1877
300.0000,0.0098,0.2135
275.0000,0.0191,0.2335
250.0000,0.0015,0.2463
225.0000,-0.0745,0.2258
200.0000,-0.1225,-0.2774
175.0000,-0.1710,-0.2746
150.0000,-0.1475,-0.2490
125.0000,-0.1171,-0.1573
100.0000,0.0090,-0.0822
